,GUID,ID,Verb,Conjugated,English,Greek Sentence,English Sentence,Tense,Person,Number
372,ugpHlgkLGf,12,κάθομαι,κάθομαι,I sit,Κάθομαι εδώ.,I sit here.,Present,1st,Singular
373,zhNhgf9wl8,13,κάθομαι,κάθεσαι,You sit,Κάθεσαι εκεί;,You sit there?,Present,2nd,Singular
374,zbYXB6jRrQ,14,κάθομαι,κάθεται,He/She/It sits,κάθεται στο πάτωμα.,He/She/It sits on the floor.,Present,3rd,Singular
375,Nu7YTJBzUC,15,κάθομαι,καθόμαστε,We sit,Καθόμαστε στο σαλόνι.,We sit in the living room.,Present,1st,Plural
376,RRB31IVLnL,16,κάθομαι,κάθεστε,You sit,κάθεστε αναπαυτικά;,You sit comfortably?,Present,2nd,Plural
377,051Vi1iYWM,17,κάθομαι,κάθονται,They sit,κάθονται στο πάρκο.,They sit in the park.,Present,3rd,Plural
378,WPJY8gLFpM,18,κάθομαι,θα κάθομαι,I will be sitting,Θα κάθομαι στον κήπο.,I will be sitting in the garden.,Future Continuous,1st,Singular
379,fBLPeb6OBD,19,κάθομαι,θα κάθεσαι,You will be sitting,Θα κάθεσαι  στο γραφείο;,You will be sitting at the desk?,Future Continuous,2nd,Singular
380,4FqGHGH0mR,20,κάθομαι,θα κάθεται,He/She/It will be sitting,Θα κάθεται  στην καρέκλα.,He/She/It will be sitting in the chair.,Future Continuous,3rd,Singular
381,AmJrG4dekX,21,κάθομαι,θα καθόμαστε,We will be sitting,Θα καθόμαστε στο σπίτι.,We will be sitting at home.,Future Continuous,1st,Plural
382,flUB3yBWXy,22,κάθομαι,θα κάθεστε,You will be sitting,Θα κάθεστε στην πλατεία;,You will be sitting in the square?,Future Continuous,2nd,Plural
383,Lu82eBkVuF,23,κάθομαι,θα κάθονται,They will be sitting,Θα κάθονται στην παραλία.,They will be sitting on the beach.,Future Continuous,3rd,Plural
384,cTqVz3DqGE,24,κάθομαι,θα κάτσω,I will sit,Θα κάτσω εδώ.,I will sit here.,Future Simple,1st,Singular
385,l50XGNnrKz,25,κάθομαι,θα κάτσεις,You will sit,Θα κάτσεις  δίπλα μου;,You will sit next to me?,Future Simple,2nd,Singular
386,n8xz0ZOaZ5,26,κάθομαι,θα κάτσει,He/She/It will sit,Θα κάτσει στο τραπέζι.,He/She/It will sit at the table.,Future Simple,3rd,Singular
387,V2lXNp93j0,27,κάθομαι,θα κάτσουμε,We will sit,Θα κάτσουμε στην καφετέρια.,We will sit at the cafe.,Future Simple,1st,Plural
388,ga3cLCV6XE,28,κάθομαι,θα κάτσετε,You will sit,Θα κάτσετε  στην αίθουσα.,You will sit in the hall.,Future Simple,2nd,Plural
389,aMJOMoR6Md,29,κάθομαι,θα κάτσουν,They will sit,Θα κάτσουν στο πάρκο.,They will sit in the park.,Future Simple,3rd,Plural
390,xnOYiPYyyQ,0,κάνω,έκανα,I did,Έκανα τα ψώνια μου.,I did my shopping.,Past Simple,1st,Singular
391,nc2H0Xduyd,1,κάνω,έκανες,You did,Έκανες καλά.,You did well.,Past Simple,2nd,Singular
392,todk95ZXjH,2,κάνω,έκανε,He/She/It did,Έκανε ζέστη.,It was hot.,Past Simple,3rd,Singular
393,C7hvUFs7mp,3,κάνω,κάναμε,We did,Κάναμε μια βόλτα.,We took a walk.,Past Simple,1st,Plural
394,A9NTUXhnsa,4,κάνω,κάνατε,You did,Κάνατε καλή δουλειά.,You did a good job.,Past Simple,2nd,Plural
395,cAh73ZJ1iK,5,κάνω,έκαναν,They did,Έκαναν θόρυβο.,They made noise.,Past Simple,3rd,Plural
396,55mW0VhLhr,6,κάνω,έκανα,I was doing,Έκανα διάβασμα.,I was studying.,Past Continuous,1st,Singular
397,9UCIbVW3Kw,7,κάνω,έκανες,You were doing,Έκανες γυμναστική;,Were you exercising?,Past Continuous,2nd,Singular
398,a74N1UHEoc,8,κάνω,έκανε,He/She/It was doing,Έκανε μπάνιο.,He/She/It was bathing.,Past Continuous,3rd,Singular
399,p7IYOyPLnI,9,κάνω,κάναμε,We were doing,Κάναμε πικ-νικ.,We were having a picnic.,Past Continuous,1st,Plural
400,gWgA8ptatE,10,κάνω,κάνατε,You were doing,Κάνατε ηλιοθεραπεία;,Were you sunbathing?,Past Continuous,2nd,Plural
401,BdtWeJIWpT,11,κάνω,έκαναν,They were doing,Έκαναν εργασία.,They were working.,Past Continuous,3rd,Plural
402,yPaxnrEcYu,12,κάνω,κάνω,I do,Κάνω γυμναστική.,I do exercise.,Present,1st,Singular
403,6Aiwy877c0,13,κάνω,κάνεις,You do,Κάνεις λάθος.,You are wrong.,Present,2nd,Singular
404,2Cm6xPu4X9,14,κάνω,κάνει,He/She/It does,Κάνει κρύο.,It's cold.,Present,3rd,Singular
405,TUiG1kdM7R,15,κάνω,κάνουμε,We do,Κάνουμε μαθήματα.,We are having lessons.,Present,1st,Plural
406,XmpSHl8sdA,16,κάνω,κάνετε,You do,Κάνετε καλά.,You are doing well.,Present,2nd,Plural
407,bKwr3rUbdy,17,κάνω,κάνουν,They do,Κάνουν θόρυβο.,They make noise.,Present,3rd,Plural
408,z1Ht6qnvGB,18,κάνω,θα κάνω,I will be doing,Θα κάνω γυμναστική.,I will be doing exercise.,Future Continuous,1st,Singular
409,zPSIp4v5kI,19,κάνω,θα κάνεις,You will be doing,Θα κάνεις διάβασμα;,Will you be studying?,Future Continuous,2nd,Singular
410,yoF5yCSz6V,20,κάνω,θα κάνει,He/She/It will be doing,Θα κάνει μπάνιο.,He/She/It will be bathing.,Future Continuous,3rd,Singular
411,MQDBUFMrTI,21,κάνω,θα κάνουμε,We will be doing,Θα κάνουμε πικ-νικ.,We will be having a picnic.,Future Continuous,1st,Plural
412,iyPzxvwan3,22,κάνω,θα κάνετε,You will be doing,Θα κάνετε ηλιοθεραπεία;,Will you be sunbathing?,Future Continuous,2nd,Plural
413,Zla6bZkeRV,23,κάνω,θα κάνουν,They will be doing,Θα κάνουν εργασία.,They will be working.,Future Continuous,3rd,Plural
414,J9bp7oNwtR,24,κάνω,θα κάνω,I will do,Θα κάνω μια βόλτα.,I will take a walk.,Future Simple,1st,Singular
415,OOEPZ3CUUS,25,κάνω,θα κάνεις,You will do,Θα κάνεις τα ψώνια σου.,You will do your shopping.,Future Simple,2nd,Singular
416,SWx3hL5RVP,26,κάνω,θα κάνει,He/She/It will do,Θα κάνει ζέστη.,It will be hot.,Future Simple,3rd,Singular
417,Pow711XjxZ,27,κάνω,θα κάνουμε,We will do,Θα κάνουμε μια εξόρμηση.,We will go on an excursion.,Future Simple,1st,Plural
418,aL1DfbaoDY,28,κάνω,θα κάνετε,You will do,Θα κάνετε καλή δουλειά.,You will do a good job.,Future Simple,2nd,Plural
419,yWPbRsM8fg,29,κάνω,θα κάνουν,They will do,Θα κάνουν θόρυβο.,They will make noise.,Future Simple,3rd,Plural
420,lHfKsqZAjv,0,καταλαβαίνω,κατάλαβα,I understood,Κατάλαβα ότι ήταν λάθος.,I understood that it was wrong.,Past Simple,1st,Singular
421,oVJ90atmNY,1,καταλαβαίνω,κατάλαβες,You understood,Κατάλαβες τι είπα;,Did you understand what I said?,Past Simple,2nd,Singular
422,fr8COdqBVV,2,καταλαβαίνω,κατάλαβε,He/She/It understood,Κατάλαβε το πρόβλημα.,He/She/It understood the problem.,Past Simple,3rd,Singular
423,9cULncf4Zm,3,καταλαβαίνω,καταλάβαμε,We understood,Καταλάβαμε την εξήγηση.,We understood the explanation.,Past Simple,1st,Plural
424,UxLJpQuR91,4,καταλαβαίνω,καταλάβατε,You understood,Καταλάβατε την ερώτηση;,Did you understand the question?,Past Simple,2nd,Plural
425,VmLahq5g9P,5,καταλαβαίνω,κατάλαβαν,They understood,Κατάλαβαν την αλήθεια.,They understood the truth.,Past Simple,3rd,Plural
426,nAIjiCSmNO,6,καταλαβαίνω,καταλάβαινα,I was understanding,Καταλάβαινα την κατάσταση.,I was understanding the situation.,Past Continuous,1st,Singular
427,WNaCKcI3O3,7,καταλαβαίνω,καταλάβαινες,You were understanding,Καταλάβαινες τι συνέβαινε;,Were you understanding what was happening?,Past Continuous,2nd,Singular
428,9TegbcfdLS,8,καταλαβαίνω,καταλάβαινε,He/She/It was understanding,Καταλάβαινε την σημασία.,He/She/It was understanding the meaning.,Past Continuous,3rd,Singular
429,40gMYFnXq4,9,καταλαβαίνω,καταλαβαίναμε,We were understanding,Καταλαβαίναμε το μήνυμα.,We were understanding the message.,Past Continuous,1st,Plural
430,SEtmcrCNEG,10,καταλαβαίνω,καταλαβαίνατε,You were understanding,Καταλαβαίνατε την οδηγία;,Were you understanding the instruction?,Past Continuous,2nd,Plural
431,ZMNLAuaKED,11,καταλαβαίνω,καταλάβαιναν,They were understanding,Καταλάβαιναν τα πάντα.,They were understanding everything.,Past Continuous,3rd,Plural
432,rS4EhsuUcN,12,καταλαβαίνω,καταλαβαίνω,I understand,Καταλαβαίνω τα αγγλικά.,I understand English.,Present,1st,Singular
433,LyfCYNz7nf,13,καταλαβαίνω,καταλαβαίνεις,You understand,Καταλαβαίνεις τι εννοώ;,Do you understand what I mean?,Present,2nd,Singular
434,5QPG0XFSS8,14,καταλαβαίνω,καταλαβαίνει,He/She/It understands,Καταλαβαίνει την γλώσσα.,He/She/It understands the language.,Present,3rd,Singular
435,WrK0Hc5y74,15,καταλαβαίνω,καταλαβαίνουμε,We understand,Καταλαβαίνουμε το πρόβλημα.,We understand the problem.,Present,1st,Plural
436,EZDclZZViP,16,καταλαβαίνω,καταλαβαίνετε,You understand,Καταλαβαίνετε την ερώτηση;,Do you understand the question?,Present,2nd,Plural
437,bte790Wy4Q,17,καταλαβαίνω,καταλαβαίνουν,They understand,Καταλαβαίνουν την κατάσταση.,They understand the situation.,Present,3rd,Plural
438,gViH7lU3QT,18,καταλαβαίνω,θα καταλαβαίνω,I will be understanding,Θα καταλαβαίνω την κατάσταση καλύτερα αργότερα.,I will be understanding the situation better later.,Future Continuous,1st,Singular
439,0H5GOdRWhG,19,καταλαβαίνω,θα καταλαβαίνεις,You will be understanding,Θα καταλαβαίνεις καλύτερα με τον καιρό.,You will be understanding better with time.,Future Continuous,2nd,Singular
440,4XjNU9cXxt,20,καταλαβαίνω,θα καταλαβαίνει,He/She/It will be understanding,Θα καταλαβαίνει καλύτερα σύντομα.,He/She/It will be understanding better soon.,Future Continuous,3rd,Singular
441,BtyICgdE9X,21,καταλαβαίνω,θα καταλαβαίνουμε,We will be understanding,Θα καταλαβαίνουμε καλύτερα σύντομα.,We will be understanding better soon.,Future Continuous,1st,Plural
442,OekLHPxeej,22,καταλαβαίνω,θα καταλαβαίνετε,You will be understanding,Θα καταλαβαίνετε καλύτερα με την εξάσκηση.,You will be understanding better with practice.,Future Continuous,2nd,Plural
443,NBpkfhm8r3,23,καταλαβαίνω,θα καταλαβαίνουν,They will be understanding,Θα καταλαβαίνουν καλύτερα με τον καιρό.,They will be understanding better with time.,Future Continuous,3rd,Plural
444,QQjRpzNXv3,24,καταλαβαίνω,θα καταλάβω,I will understand,Θα καταλάβω την απάντηση αύριο.,I will understand the answer tomorrow.,Future Simple,1st,Singular
445,mZcnzFXCrJ,25,καταλαβαίνω,θα καταλάβεις,You will understand,Θα καταλάβεις σύντομα.,You will understand soon.,Future Simple,2nd,Singular
446,lTIdZ6Rc3G,26,καταλαβαίνω,θα καταλάβει,He/She/It will understand,Θα καταλάβει την σημασία.,He/She/It will understand the meaning.,Future Simple,3rd,Singular
447,ZvqjdFKexH,27,καταλαβαίνω,θα καταλάβουμε,We will understand,Θα καταλάβουμε σύντομα.,We will understand soon.,Future Simple,1st,Plural
448,LEFbOaJy6C,28,καταλαβαίνω,θα καταλάβετε,You will understand,Θα καταλάβετε αργότερα.,You will understand later.,Future Simple,2nd,Plural
449,xZ0U7a3zif,29,καταλαβαίνω,θα καταλάβουν,They will understand,Θα καταλάβουν την αλήθεια.,They will understand the truth.,Future Simple,3rd,Plural
450,ABhf1qSxQH,0,κλείνω,έκλεισα,I closed,Έκλεισα την πόρτα.,I closed the door.,Past Simple,1st,Singular
451,EVtek40Qty,1,κλείνω,έκλεισες,You closed,Έκλεισες το παράθυρο.,You closed the window.,Past Simple,2nd,Singular
452,jdSotcXOPv,2,κλείνω,έκλεισε,He/She/It closed,Το πουλί έκλεισε τα φτερά του.,The bird closed its wings.,Past Simple,3rd,Singular
453,0k3SfSGojH,3,κλείνω,κλείσαμε,We closed,Κλείσαμε τα βιβλία μας.,We closed our books.,Past Simple,1st,Plural
454,FtjmYHFEjL,4,κλείνω,κλείσατε,You closed,Κλείσατε το μαγαζί σας;,You closed your shop?,Past Simple,2nd,Plural
455,sDiM0heaox,5,κλείνω,έκλεισαν,They closed,Έκλεισαν τα μάτια τους.,They closed their eyes.,Past Simple,3rd,Plural
456,W71p22zA0M,6,κλείνω,έκλεινα,I was closing,Έκλεινα την πόρτα.,I was closing the door.,Past Continuous,1st,Singular
457,uKpoHl6Gdq,7,κλείνω,έκλεινες,You were closing,Έκλεινες το παράθυρο.,You were closing the window.,Past Continuous,2nd,Singular
458,nyQbTV7ZI2,8,κλείνω,έκλεινε,He/She/It was closing,Το πουλί έκλεινε τα φτερά του.,The bird was closing its wings.,Past Continuous,3rd,Singular
459,0bfjdULgbY,9,κλείνω,κλείναμε,We were closing,Κλείναμε τα βιβλία μας.,We were closing our books.,Past Continuous,1st,Plural
460,53KHcG6jY4,10,κλείνω,κλείνατε,You were closing,Κλείνατε το μαγαζί σας;,You were closing your shop?,Past Continuous,2nd,Plural
461,Zpn606xHhA,11,κλείνω,έκλειναν,They were closing,Έκλειναν τα μάτια τους.,They were closing their eyes.,Past Continuous,3rd,Plural
462,wdp4xjg9ig,12,κλείνω,κλείνω,I close,Κλείνω την πόρτα.,I close the door.,Present,1st,Singular
463,CVoqkF9aMT,13,κλείνω,κλείνεις,You close,Κλείνεις το παράθυρο.,You close the window.,Present,2nd,Singular
464,sQlyImP1IP,14,κλείνω,κλείνει,He/She/It closes,Το πουλί κλείνει τα φτερά του.,The bird closes its wings.,Present,3rd,Singular
465,NnMAHQJ2fm,15,κλείνω,κλείνουμε,We close,Κλείνουμε τα βιβλία μας.,We close our books.,Present,1st,Plural
466,4v3KXuSVrU,16,κλείνω,κλείνετε,You close,Κλείνετε το μαγαζί σας;,You close your shop?,Present,2nd,Plural
467,8UwYNw1O0Q,17,κλείνω,κλείνουν,They close,Κλείνουν τα μάτια τους.,They close their eyes.,Present,3rd,Plural
468,GVvYQ54Kjj,18,κλείνω,θα κλείνω,I will be closing,Θα κλείνω την πόρτα.,I will be closing the door.,Future Continuous,1st,Singular
469,MyVEERmbbB,19,κλείνω,θα κλείνεις,You will be closing,Θα κλείνεις το παράθυρο.,You will be closing the window.,Future Continuous,2nd,Singular
470,uyug8ZAHL7,20,κλείνω,θα κλείνει,He/She/It will be closing,Το πουλί θα κλείνει τα φτερά του.,The bird will be closing its wings.,Future Continuous,3rd,Singular
471,APxH7QRXLw,21,κλείνω,θα κλείνουμε,We will be closing,Θα κλείνουμε τα βιβλία μας.,We will be closing our books.,Future Continuous,1st,Plural
472,E0uvbTLlc8,22,κλείνω,θα κλείνετε,You will be closing,Θα κλείνετε το μαγαζί σας;,You will be closing your shop?,Future Continuous,2nd,Plural
473,gVF4FjRWUo,23,κλείνω,θα κλείνουν,They will be closing,Θα κλείνουν τα μάτια τους.,They will be closing their eyes.,Future Continuous,3rd,Plural
474,dLVY8P9BMk,24,κλείνω,θα κλείσω,I will close,Θα κλείσω την πόρτα.,I will close the door.,Future Simple,1st,Singular
475,XDrOmDDmOm,25,κλείνω,θα κλείσεις,You will close,Θα κλείσεις το παράθυρο.,You will close the window.,Future Simple,2nd,Singular
476,DDzFxt7dct,26,κλείνω,θα κλείσει,He/She/It will close,Το πουλί θα κλείσει τα φτερά του.,The bird will close its wings.,Future Simple,3rd,Singular
477,KIzzuXqYmX,27,κλείνω,θα κλείσουμε,We will close,Θα κλείσουμε τα βιβλία μας.,We will close our books.,Future Simple,1st,Plural
478,EF7YPiZq04,28,κλείνω,θα κλείσετε,You will close,Θα κλείσετε το μαγαζί σας;,You will close your shop?,Future Simple,2nd,Plural
479,jruU570s2T,29,κλείνω,θα κλείσουν,They will close,Θα κλείσουν τα μάτια τους.,They will close their eyes.,Future Simple,3rd,Plural
480,XcHelvZ0kA,0,κοιμάμαι,κοιμήθηκα,I slept,κοιμήθηκα νωρίς χθες.,I slept early yesterday.,Past Simple,1st,Singular
481,mQnnXnfC5a,1,κοιμάμαι,κοιμήθηκες,You slept,κοιμήθηκες καλά;,Did you sleep well?,Past Simple,2nd,Singular
482,QzBtRx2476,2,κοιμάμαι,κοιμήθηκε,He/She/It slept,Το μωρό κοιμήθηκε.,The baby slept.,Past Simple,3rd,Singular
483,ECXe2WoHRC,3,κοιμάμαι,κοιμηθήκαμε,We slept,Κοιμηθήκαμε πολύ.,We slept a lot.,Past Simple,1st,Plural
484,Ck3CfTgtKP,4,κοιμάμαι,κοιμηθήκατε,You slept,Κοιμηθήκατε καλά;,Did you sleep well?,Past Simple,2nd,Plural
485,fgAPBKHySb,5,κοιμάμαι,κοιμήθηκαν,They slept,Τα παιδιά κοιμήθηκαν.,The children slept.,Past Simple,3rd,Plural
486,jxTBghxfAk,6,κοιμάμαι,κοιμόμουν,I was sleeping,κοιμόμουν όταν χτύπησε το τηλέφωνο.,I was sleeping when the phone rang.,Past Continuous,1st,Singular
487,oXabE9ZpuO,7,κοιμάμαι,κοιμόσουν,You were sleeping,κοιμόσουν;,Were you sleeping?,Past Continuous,2nd,Singular
488,vfFJp5UsMc,8,κοιμάμαι,κοιμόταν,He/She/It was sleeping,Το μωρό κοιμόταν.,The baby was sleeping.,Past Continuous,3rd,Singular
489,XTlX3jVTWE,9,κοιμάμαι,κοιμόμασταν,We were sleeping,κοιμόμασταν όταν ήρθατε.,We were sleeping when you came.,Past Continuous,1st,Plural
490,7FMyZZoxgd,10,κοιμάμαι,κοιμόσασταν,You were sleeping,κοιμόσασταν;,Were you sleeping?,Past Continuous,2nd,Plural
491,BCPHbRm1ZU,11,κοιμάμαι,κοιμούνταν,They were sleeping,Τα παιδιά κοιμούνταν.,The children were sleeping.,Past Continuous,3rd,Plural
492,pszsoKmxxj,12,κοιμάμαι,κοιμάμαι,I sleep,κοιμάμαι κάθε βράδυ.,I sleep every night.,Present,1st,Singular
493,mt0jwpCQ6j,13,κοιμάμαι,κοιμάσαι,You sleep,κοιμάσαι καλά;,Do you sleep well?,Present,2nd,Singular
494,MYnyPgdrWJ,14,κοιμάμαι,κοιμάται,He/She/It sleeps,Το μωρό κοιμάται.,The baby sleeps.,Present,3rd,Singular
495,10fDaYv1j0,15,κοιμάμαι,κοιμόμαστε,We sleep,κοιμόμαστε νωρίς.,We sleep early.,Present,1st,Plural
496,nOBp8E97oY,16,κοιμάμαι,κοιμάστε,You sleep,κοιμάστε καλά;,Do you sleep well?,Present,2nd,Plural
497,9ytwHpeGQQ,17,κοιμάμαι,κοιμούνται,They sleep,Τα παιδιά κοιμούνται.,The children sleep.,Present,3rd,Plural
498,VyuLyHovCD,18,κοιμάμαι,θα κοιμάμαι,I will be sleeping,θα κοιμάμαι αύριο το βράδυ.,I will be sleeping tomorrow night.,Future Continuous,1st,Singular
499,enjc8Bs9ZR,19,κοιμάμαι,θα κοιμάσαι,You will be sleeping,θα κοιμάσαι;,Will you be sleeping?,Future Continuous,2nd,Singular
500,XKKEwvsYNz,20,κοιμάμαι,θα κοιμάται,He/She/It will be sleeping,θα κοιμάται.,He/She/It will be sleeping.,Future Continuous,3rd,Singular
501,80IR4ueuWi,21,κοιμάμαι,θα κοιμόμαστε,We will be sleeping,θα κοιμόμαστε αύριο.,We will be sleeping tomorrow.,Future Continuous,1st,Plural
502,Y3Sw365ycR,22,κοιμάμαι,θα κοιμάστε,You will be sleeping,θα κοιμάστε;,Will you be sleeping?,Future Continuous,2nd,Plural
503,aWUCl1RXuS,23,κοιμάμαι,θα κοιμούνται,They will be sleeping,θα κοιμούνται.,They will be sleeping.,Future Continuous,3rd,Plural
504,haPhSP5Wj4,24,κοιμάμαι,θα κοιμηθώ,I will sleep,θα κοιμηθώ νωρίς.,I will sleep early.,Future Simple,1st,Singular
505,apSY7Fw6Qb,25,κοιμάμαι,θα κοιμηθείς,You will sleep,θα κοιμηθείς;,Will you sleep?,Future Simple,2nd,Singular
506,Szdoq0k4V8,26,κοιμάμαι,θα κοιμηθεί,He/She/It will sleep,θα κοιμηθεί.,He/She/It will sleep.,Future Simple,3rd,Singular
507,1rnjWVhogE,27,κοιμάμαι,θα κοιμηθούμε,We will sleep,θα κοιμηθούμε νωρίς.,We will sleep early.,Future Simple,1st,Plural
508,ghu1KNECrt,28,κοιμάμαι,θα κοιμηθείτε,You will sleep,θα κοιμηθείτε;,Will you sleep?,Future Simple,2nd,Plural
509,HL1nvzICe6,29,κοιμάμαι,θα κοιμηθούν,They will sleep,θα κοιμηθούν.,They will sleep.,Future Simple,3rd,Plural
510,L1M0BR1dOo,0,κολυμπάω,κολύμπησα,I swam,Κολύμπησα στη θάλασσα.,I swam in the sea.,Past Simple,1st,Singular
511,OcGUD624Nw,1,κολυμπάω,κολύμπησες,You swam,Κολύμπησες στη θάλασσα.,You swam in the sea.,Past Simple,2nd,Singular
512,3KioSGUjcv,2,κολυμπάω,κολύμπησε,He/She/It swam,Το παιδί κολύμπησε στη θάλασσα.,The child swam in the sea.,Past Simple,3rd,Singular
513,BYfylaEi3h,3,κολυμπάω,κολυμπήσαμε,We swam,Κολυμπήσαμε στη θάλασσα.,We swam in the sea.,Past Simple,1st,Plural
514,xO4t8KKgr3,4,κολυμπάω,κολυμπήσατε,You swam,Κολυμπήσατε στη θάλασσα.,You swam in the sea.,Past Simple,2nd,Plural
515,21n37GpoyP,5,κολυμπάω,κολύμπησαν,They swam,Τα παιδιά κολύμπησαν στη θάλασσα.,The children swam in the sea.,Past Simple,3rd,Plural
516,DNodAI0Ort,6,κολυμπάω,κολυμπούσα,I was swimming,Κολυμπούσα στη θάλασσα.,I was swimming in the sea.,Past Continuous,1st,Singular
517,All6oEb5e5,7,κολυμπάω,κολυμπούσες,You were swimming,Κολυμπούσες στη θάλασσα.,You were swimming in the sea.,Past Continuous,2nd,Singular
518,XXj5t2xlIn,8,κολυμπάω,κολυμπούσε,He/She/It was swimming,Το παιδί κολυμπούσε στη θάλασσα.,The child was swimming in the sea.,Past Continuous,3rd,Singular
519,bQxYaT0iZu,9,κολυμπάω,κολυμπούσαμε,We were swimming,Κολυμπούσαμε στη θάλασσα.,We were swimming in the sea.,Past Continuous,1st,Plural
520,TDNDD4JACC,10,κολυμπάω,κολυμπούσατε,You were swimming,Κολυμπούσατε στη θάλασσα.,You were swimming in the sea.,Past Continuous,2nd,Plural
521,g5KJBTKxzN,11,κολυμπάω,κολυμπούσαν,They were swimming,Τα παιδιά κολυμπούσαν στη θάλασσα.,The children were swimming in the sea.,Past Continuous,3rd,Plural
522,tlLcrZHPZA,12,κολυμπάω,κολυμπάω,I swim,Κολυμπάω στη θάλασσα.,I swim in the sea.,Present,1st,Singular
523,9x2ng0Vot4,13,κολυμπάω,κολυμπάς,You swim,Κολυμπάς στη θάλασσα.,You swim in the sea.,Present,2nd,Singular
524,C6rrd46YKR,14,κολυμπάω,κολυμπάει,He/She/It swims,Το παιδί κολυμπάει στη θάλασσα.,The child swims in the sea.,Present,3rd,Singular
525,iFskJyLmDV,15,κολυμπάω,κολυμπάμε,We swim,Κολυμπάμε στη θάλασσα.,We swim in the sea.,Present,1st,Plural
526,i2a9SIFTBy,16,κολυμπάω,κολυμπάτε,You swim,Κολυμπάτε στη θάλασσα.,You swim in the sea.,Present,2nd,Plural
527,U0ZCZbXA8W,17,κολυμπάω,κολυμπούν,They swim,Τα παιδιά κολυμπούν στη θάλασσα.,The children swim in the sea.,Present,3rd,Plural
528,kIr9bP17rQ,18,κολυμπάω,θα κολυμπάω,I will be swimming,Θα κολυμπάω στη θάλασσα.,I will be swimming in the sea.,Future Continuous,1st,Singular
529,g517fD4Weu,19,κολυμπάω,θα κολυμπάς,You will be swimming,Θα κολυμπάς στη θάλασσα.,You will be swimming in the sea.,Future Continuous,2nd,Singular
530,9rc0WATFdC,20,κολυμπάω,θα κολυμπάει,He/She/It will be swimming,Το παιδί θα κολυμπάει στη θάλασσα.,The child will be swimming in the sea.,Future Continuous,3rd,Singular
531,QBkPq2AqgB,21,κολυμπάω,θα κολυμπάμε,We will be swimming,Θα κολυμπάμε στη θάλασσα.,We will be swimming in the sea.,Future Continuous,1st,Plural
532,dwNXnaDiEl,22,κολυμπάω,θα κολυμπάτε,You will be swimming,Θα κολυμπάτε στη θάλασσα.,You will be swimming in the sea.,Future Continuous,2nd,Plural
533,6fKvxeY3mv,23,κολυμπάω,θα κολυμπούν,They will be swimming,Τα παιδιά θα κολυμπούν στη θάλασσα.,The children will be swimming in the sea.,Future Continuous,3rd,Plural
534,D3TlMjK84H,24,κολυμπάω,θα κολυμπήσω,I will swim,Θα κολυμπήσω στη θάλασσα.,I will swim in the sea.,Future Simple,1st,Singular
535,NCRrXyWoiB,25,κολυμπάω,θα κολυμπήσεις,You will swim,Θα κολυμπήσεις στη θάλασσα.,You will swim in the sea.,Future Simple,2nd,Singular
536,D0eat3MHk2,26,κολυμπάω,θα κολυμπήσει,He/She/It will swim,Το παιδί θα κολυμπήσει στη θάλασσα.,The child will swim in the sea.,Future Simple,3rd,Singular
537,jvbdi1WBhH,27,κολυμπάω,θα κολυμπήσουμε,We will swim,Θα κολυμπήσουμε στη θάλασσα.,We will swim in the sea.,Future Simple,1st,Plural
538,0uCd6oSieQ,28,κολυμπάω,θα κολυμπήσετε,You will swim,Θα κολυμπήσετε στη θάλασσα.,You will swim in the sea.,Future Simple,2nd,Plural
539,s94KCtknAg,29,κολυμπάω,θα κολυμπήσουν,They will swim,Τα παιδιά θα κολυμπήσουν στη θάλασσα.,The children will swim in the sea.,Future Simple,3rd,Plural
540,4p0Cq4tjyC,0,μαγειρεύω,μάγειρα,I cooked,Μάγειρα χθες βράδυ.,I cooked last night.,Past Simple,1st,Singular
541,vysoKAByUm,1,μαγειρεύω,μάγειρες,You cooked,Μάγειρες χθες;,Did you cook yesterday?,Past Simple,2nd,Singular
542,ytBKfxIrOk,2,μαγειρεύω,μάγειρε,He/She/It cooked,Μάγειρε ένα ωραίο φαγητό.,He/She/It cooked a nice meal.,Past Simple,3rd,Singular
543,Ht18Vy6fLe,3,μαγειρεύω,μαγειρέψαμε,We cooked,Μαγειρέψαμε πίτσα.,We cooked pizza.,Past Simple,1st,Plural
544,gwahSSJeR3,4,μαγειρεύω,μαγειρέψατε,You cooked,Μαγειρέψατε πατσά;,Did you cook tripe?,Past Simple,2nd,Plural
545,AUmICsMizY,5,μαγειρεύω,μάγειραν,They cooked,Μάγειραν γλυκά.,They cooked sweets.,Past Simple,3rd,Plural
546,T5s91MBok4,6,μαγειρεύω,μάγειρευα,I was cooking,Μάγειρευα όταν ήρθε η μητέρα μου.,I was cooking when my mother arrived.,Past Continuous,1st,Singular
547,Xhy86LEWj1,7,μαγειρεύω,μάγειρευες,You were cooking,Μάγειρευες φαγητό;,Were you cooking food?,Past Continuous,2nd,Singular
548,o1G4qA0JAi,8,μαγειρεύω,μάγειρευε,He/She/It was cooking,Μάγειρευε σούπα.,He/She/It was cooking soup.,Past Continuous,3rd,Singular
549,yRvX6onNDY,9,μαγειρεύω,μαγειρεύαμε,We were cooking,Μαγειρεύαμε  όταν χτύπησε το τηλέφωνο.,We were cooking when the phone rang.,Past Continuous,1st,Plural
550,lI6NdThxzU,10,μαγειρεύω,μαγειρεύατε,You were cooking,Μαγειρεύατε  όταν ήρθα;,Were you cooking when I arrived?,Past Continuous,2nd,Plural
